x,y
2.119140625,-2.624214668280472
4.619140625,-9.30141837459334
0.556640625,-4.260925559701462
3.056640625,-7.08695267721825
1.806640625,-2.7462410398945565
4.306640625,-14.417799632210262
1.181640625,-3.923849718748641
3.681640625,-13.033366963217958
2.431640625,-3.221666542840211
4.931640625,3.026054732627273
0.048828125,-3.1461208854060203
2.548828125,-3.6723653778725236
1.298828125,-3.6991394717486794
3.798828125,-13.952759825472498
0.673828125,-4.344518507898869
3.173828125,-8.157119805257793
1.923828125,-2.633081178812829
4.423828125,-13.161170071819328
0.361328125,-3.959067507283038
2.861328125,-5.509209691379368
1.611328125,-3.0598465723122388
4.111328125,-15.161723676999685
0.986328125,-4.216029364068021
3.486328125,-11.222806485018594
2.236328125,-2.751181002256856
4.736328125,-5.687773650259116
0.205078125,-3.590391967054842
2.705078125,-4.476939074966452
1.455078125,-3.3746376623733734
3.955078125,-14.84026481178293
0.830078125,-4.340800424579669
3.330078125,-9.67555458119054
2.080078125,-2.605308890215695
4.580078125,-10.274443848593677
0.517578125,-4.216439306369779
3.017578125,-6.748757618775329
1.767578125,-2.7982278712673576
4.267578125,-14.689784387287858
1.142578125,-3.9919634547871676
3.642578125,-12.692871089089152
2.392578125,-3.100099939052
4.892578125,0.9833029500665873
0.126953125,-3.374720826533661
2.626953125,-4.045557589953745
1.376953125,-3.5383362935423004
3.876953125,-14.45440077755083
0.751953125,-4.358746937488462
3.251953125,-8.90710272544456
2.001953125,-2.5996215939463516
4.501953125,-11.907962497281545
0.439453125,-4.103179781656394
2.939453125,-6.105028845292139
1.689453125,-2.9196544554420996
4.189453125,-15.040515424122162
1.064453125,-4.114679273167525
3.564453125,-11.975140350784017
2.314453125,-2.8987513486541436
4.814453125,-2.6385414184884137
0.283203125,-3.7868524328851834
2.783203125,-4.965491794017993
1.533203125,-3.2133343184696903
4.033203125,-15.085143716723081
0.908203125,-4.292418576423273
3.408203125,-10.451597421505625
2.158203125,-2.654514592467506
4.658203125,-8.216605305496243
0.595703125,-4.297133741551164
3.095703125,-7.435006810432327
1.845703125,-2.700956745870002
4.345703125,-14.075480844188945
1.220703125,-3.8519558762110075
3.720703125,-13.35851441226086
2.470703125,-3.357462309972192
4.970703125,5.232844960706558
0.029296875,-3.0878113331181396
